Start_Date,Volunteer_event,Volunteer_ID,Current_Yr_Donation,Type,Volunteer_Hours,Volunteer_company
3/23/2022,Packing Food Boxes,1,$0 No Donations,Food Distribution,3,None
8/16/2022,Trash Clean Up,2,$1-$99,Clean Up,5,Walmart
12/14/2022,Speaker at Event,3,$100-$999,Speaker,4,Google
6/30/2022,Cleaning Community Garden,4,$1000-$4999,Clean Up,3,Netflix
7/8/2022,Soup Kitchen,5,$5000+,Food Distribution,2,Apple
12/31/2022,Food Bank,6,$0 No Donations,Food Distribution,5,Microsoft
10/28/2022,Tutoring,7,$1-$99,Education,4,Microsoft
4/6/2022,Jacket Distribution,8,$1-$99,Clothing Distribution,1,Microsoft
11/5/2022,Language Tutoring,9,$1-$99,Education,3,Microsoft
9/11/2022,Packing Food Boxes,10,$100-$999,Food Distribution,4,Microsoft
10/12/2022,Trash Clean Up,11,$0 No Donations,Clean Up,4,Microsoft
6/9/2022,Speaker at Event,12,$0 No Donations,Speaker,1,Microsoft
4/19/2022,Cleaning Community Garden,13,$5000+,Clean Up,1,Microsoft
5/16/2022,Soup Kitchen,14,$0 No Donations,Food Distribution,2,Microsoft
6/19/2022,Food Bank,15,$5000+,Food Distribution,1,Microsoft
10/17/2022,Tutoring,16,$5000+,Education,4,Microsoft
11/12/2022,Jacket Distribution,17,$1-$99,Clothing Distribution,4,Microsoft
10/4/2022,Language Tutoring,18,$1-$99,Education,5,Microsoft
7/25/2022,Packing Food Boxes,19,$1-$99,Food Distribution,1,Microsoft
4/24/2022,Trash Clean Up,20,$1-$99,Clean Up,1,Microsoft
8/20/2022,Speaker at Event,21,$100-$999,Speaker,5,Microsoft
3/12/2022,Cleaning Community Garden,22,$0 No Donations,Clean Up,4,Microsoft
12/16/2022,Soup Kitchen,23,$0 No Donations,Food Distribution,1,Microsoft
12/30/2022,Food Bank,24,$100-$999,Food Distribution,3,Microsoft
4/2/2022,Tutoring,25,$5000+,Education,6,None
6/27/2022,Jacket Distribution,26,$0 No Donations,Clothing Distribution,5,None
3/19/2022,Language Tutoring,27,$5000+,Education,6,None
4/24/2022,Trash Clean Up,28,$0 No Donations,Clean Up,2,None
4/24/2022,Trash Clean Up,29,$100-$999,Clean Up,4,None
4/24/2022,Trash Clean Up,30,$0 No Donations,Clean Up,2,None
4/24/2022,Trash Clean Up,31,$100-$999,Clean Up,2,None
4/24/2022,Trash Clean Up,32,$5000+,Clean Up,5,None
